,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"beta_station[Huairou, TEMP]",-0.6550239007792097,0.031006205419347312,-0.7054848983414933,-0.6044286164616417,48.98369762195399,106.7272887263944,1.0571433158130985,0.004424281687238467,0.0017516809332825348
"beta_station[Huairou, PRES]",0.029989619729483843,0.019685515295796548,-0.0004827719800259271,0.06110952576630561,91.85494679125675,211.59628572339614,1.0200618630290854,0.00203982669578387,0.0009158904572261388
"beta_station[Huairou, DEWP]",0.8340232339023778,0.026043869667232312,0.7926739960692316,0.8758419328117205,73.5806891304776,149.977785600942,1.0433646349802908,0.003057117459035825,0.0015280388693304572
"beta_station[Huairou, WSPM]",0.013953453587917457,0.007324005454213599,0.0018937387264414975,0.025756348566141545,1193.4868958384757,1507.7793754019776,1.0027348647095913,0.00021261484138176262,0.00013203282127856452
"beta_station[Nongzhanguan, TEMP]",-0.6596952536877042,0.028719701999255956,-0.7064442024183835,-0.6124419051937119,48.26593154709086,73.38790727143639,1.0556594123247707,0.004136365812055369,0.002164914789478121
"beta_station[Nongzhanguan, PRES]",-0.03437648188056577,0.019906863353620893,-0.06625445246812506,-0.003467810665927893,95.95044767046443,208.24908257158233,1.018470380130153,0.0020305180524580867,0.0008385086461151059
"beta_station[Nongzhanguan, DEWP]",0.7525871653030682,0.025222114312821294,0.7129207879167999,0.794019684814131,73.94500329566719,126.32874128863693,1.0416574551330897,0.002942058766840396,0.001447043565871783
"beta_station[Nongzhanguan, WSPM]",-0.04971832466010866,0.006699860894382614,-0.060587593653504336,-0.039330454256604086,1093.1977995618859,1330.5380618919341,1.0018941759373734,0.0002026573887545839,0.00012164058088660335
"beta_station[Shunyi, TEMP]",-0.6934102018065212,0.02968117046101276,-0.7421551462958045,-0.6456617539492191,53.637088155927735,65.60555593959972,1.0484390716749652,0.004057954796672925,0.0019887124316939897
"beta_station[Shunyi, PRES]",-0.01605027775362164,0.019410567960752224,-0.04747602602453639,0.013657295003805109,93.36078591895095,200.1795028389201,1.0165962120721708,0.0020155056838739153,0.0008750469866508136
"beta_station[Shunyi, DEWP]",0.8491061660572742,0.02597682827231019,0.8085842498247596,0.8895295133526611,81.80698071700824,154.98899121699665,1.0363128620801343,0.0028865165032633745,0.0014727470830127188
"beta_station[Shunyi, WSPM]",0.007457832326281647,0.0067702290652557956,-0.003575713888279403,0.018054836660276373,1118.7351093270026,1381.4238994948885,1.0012251121488778,0.0002029009310537387,0.00012949186565356952
"beta_station[Tiantan, TEMP]",-0.6365012268573781,0.028364760202527168,-0.6818798527143484,-0.5908317715101251,49.43153632620779,125.39766272674028,1.0592848468805334,0.004034610127648407,0.0013342664308495932
"beta_station[Tiantan, PRES]",-0.03507749040262068,0.019481414136197434,-0.06665610345883625,-0.004569059546783389,98.73090146038153,197.33224158859082,1.011257786930635,0.001966752179135323,0.0008037824107106867
