,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
mu_group[suburban_industrial],-3.4856004627155652,0.885476656002073,-4.639032861511489,-2.6151958215584186,2.56677678705783,19.20217286725246,2.2364419484301474,0.6159667928007347,0.11926984765422505
mu_group[urban],-3.2532601230354947,0.9620583964688654,-4.427504429534781,-2.300445717764458,2.5563733131977835,18.36259379111889,2.2331035916473994,0.6733418081505053,0.09428527458157292
"beta_station[Aotizhongxin, TEMP_z]",-1.0703239925200274,0.8973929802224202,-2.1790811331074686,-0.18139649209362688,2.5647070523905215,16.45758317207639,2.2321860816302617,0.628068330802969,0.08611690714881974
"beta_station[Aotizhongxin, PRES_z]",0.05981277236557465,0.8285622978174064,-0.8729298646792328,0.8856794741861803,2.5477415114177657,15.70884729705921,2.2324253768686044,0.5829116433776016,0.047788032928503144
"beta_station[Aotizhongxin, DEWP_z]",2.061082349415223,1.4255262975475376,0.6401450384904415,3.6739887493636543,2.5444449264272686,2.0107238605898123,2.2318998347958203,1.0029283026513187,0.0806635516849629
"beta_station[Aotizhongxin, WSPM_z]",-1.086189436059914,0.25872264581355775,-1.4589666124630531,-0.8390084435302291,2.5442631055714946,17.769672286385457,2.23171582926935,0.1760066665888706,0.05765972301130755
"beta_station[Aotizhongxin, RAIN_z]",0.04740910526947922,0.8552625144564105,-1.0628512401053174,0.886738207374073,2.541475499235662,15.780870157532423,2.2319604420382415,0.5943484163206124,0.12395779841347981
"beta_station[Aotizhongxin, lag_logpm25_z]",1.3753447179514608,0.3481422582287557,1.0322181521924636,1.8119319920757377,2.5367050258466546,2.0107238605898123,2.232036527512849,0.24280272035028239,0.041971471607489326
"beta_station[Aotizhongxin, sin_doy]",0.4644368133116452,1.0720896468014796,-0.6055948007042762,1.646880754608383,2.53926981974121,2.0107238605898123,2.2335457759376722,0.7550431460426215,0.04711743496394464
"beta_station[Aotizhongxin, cos_doy]",1.3960244992327504,1.8161280853670008,-0.4130612736724528,3.4847730620778066,2.5429585671180255,2.0107238605898123,2.233892521016622,1.27709359708483,0.11414227080385568
"beta_station[Changping, TEMP_z]",-1.2139494382468408,0.708700272398447,-2.1218204145864195,-0.5156347298161618,2.5454219285632234,17.13432524670724,2.2325614564884484,0.4940323957946315,0.08357071281986207
"beta_station[Changping, PRES_z]",0.048832524725395086,0.8278930121334062,-0.8869221180555174,0.8739653206393593,2.5445854896990374,17.268034141336003,2.232080782882218,0.5824178444622197,0.04848064514240893
"beta_station[Changping, DEWP_z]",2.0065483224971645,1.4856092630973479,0.5253604112939859,3.688203435992786,2.5451270261684003,2.0107238605898123,2.2318743403119305,1.0453956604776213,0.08039254793774692
"beta_station[Changping, WSPM_z]",-0.5352906934521363,0.7807739076177701,-1.4475847703086824,0.24114600153684995,2.539600698583998,16.717143329756144,2.23254288973956,0.5483118378751897,0.05834464133001326
"beta_station[Changping, RAIN_z]",-0.5600230339409044,0.34267946179435127,-1.1490874532758508,-0.2631551904908796,2.581863159738492,17.425195831219195,2.2317200226685667,0.21498155862381257,0.14537435856501685
"beta_station[Changping, lag_logpm25_z]",1.127806053493186,0.615287922585121,0.5161224503669338,1.8516336614749382,2.543828173452857,2.0107238605898123,2.2342939241481203,0.43198733846913767,0.049213099782495745
"beta_station[Changping, sin_doy]",0.5665643246256834,0.9808845653104129,-0.41154986712058345,1.6598550307094406,2.546174718733134,2.0107238605898123,2.234183516838264,0.6903137617091148,0.052553597727138954
"beta_station[Changping, cos_doy]",1.3511065689132755,1.82019196381513,-0.4621213233476745,3.4338946614323356,2.5458883005965665,2.0107238605898123,2.232655724680823,1.2799745849349304,0.11257748778916701
